# Rime table
# coding: utf-8
#@/db_name	custom_phrase.txt
#@/db_type	tabledb
#
# ─────────────────────────────────────────────────────────
# 自定义短语（custom_phrase）—— 置顶词 / 短语
# 用途：朋友名、邮箱、地址、常用句等。
#
# 格式（中间是 TAB 制表符，不是空格！）：
#       词语<TAB>编码[<TAB>权重]
#
# 编码怎么填（小鹤双拼）：
#   填「小鹤双拼键」，这样按正常双拼输入该音就能出这个词。
#   例：
#     张三    = zhang san        = vh  + sj        → 编码写 vhsj
#     李四    = li si            = li  + si        → 编码写 lisi
#     王小明  = wang xiao ming   = wh  + xn + mk   → 编码写 whxnmk
#   也可以随便起一个好记的编码（不限于拼音），例如邮箱用 yx。
#
# 权重：可选，数字越大越靠前（默认低权重，initial_quality: 0.9，排在正常候选之后）。
# 改完本文件后要「重新部署」才生效。
# ─────────────────────────────────────────────────────────

# 下面几行是示例，删掉行首的 # 即可启用（务必用 TAB 分隔，不要用空格）：
# 张三	vhsj
# 李四	lisi
# 我的邮箱	yx
周凯	vzkd
艳平	yjpk
明桂	mkgv
文芝	wfvi
晓婷	xntk
李灿	licj
我的	wode
李培	lipw
宝山	bcuj
汀语	tkyu
周汀语	vtyu
登辉	dghv
友接	yzjp
波任	borf
佳凤	jxfg
弯弯	wjwj
秋云	qqyy
硕韬	uotc
